Host full name,Gelechiidae species name,Rank,COL status,COL taxon page,GBIF taxonKey
Aster ericoides,Gnorimoschema subterranea  Busck,species,accepted,"https://www.catalogueoflife.org/data/taxon/53Q7J",9038611
Aster ericoides ericoides,Gnorimoschema subterranea  Busck,species,accepted,"https://www.catalogueoflife.org/data/taxon/53Q7J",5709317
Aster longifolius,Gnorimoschema septentrionella  Fyles,species,accepted,"https://www.catalogueoflife.org/data/taxon/53Q8L",7550131
Aster macrophyllus,Dichomeris leuconotella  Busck; Dichomeris levisella  Fyles,species,accepted,"https://www.catalogueoflife.org/data/taxon/3D39Z",5396109
Aster patens,Gnorimoschema busckiella  Kearfott,species,accepted,"https://www.catalogueoflife.org/data/taxon/53Q8T",7735619
Aster sedifolius sedifolius,Caulastrocecis gypsella  Constant,species,synonym,"https://www.catalogueoflife.org/data/taxon/7JT9Q",
Aster shortii,Dichomeris nonstrigella  Chambers,species,accepted,"https://www.catalogueoflife.org/data/taxon/53Q9K",5406357
Aster tripolium,Apodia bifractella  Duponchel; Scrobipalpa salinella  Zeller,species,ambiguous synonym,"https://www.catalogueoflife.org/data/taxon/8VCS6",3065
Aster umbellatus,Gnorimoschema gallaeasterella  Kellicott,species,synonym,"https://www.catalogueoflife.org/data/taxon/67V36",
Asteriscus maritimus,Metzneria tenuiella  Mann,species,,"https://www.catalogueoflife.org/data/taxon/686DW",
Asteriscus mauritanicus,Ptocheuusa asterisci  Walsingham,species,accepted,"https://www.catalogueoflife.org/data/taxon/5K5BH",5385227
Astragalus gombo,Syncopacma thaumalea  Walsingham,species,accepted,"https://www.catalogueoflife.org/data/taxon/HXYZ",5343018
Atractylis,Metzneria eatoni  Walsingham,genus,accepted,"https://www.catalogueoflife.org/data/taxon/62DV9",5398240
Atriplex,Chrysoesthia drurella  Fabricius; Chrysoesthia sexguttella  Thunberg; Chrysoesthia stipella  Hubner; Scrobipalpa atriplicella  Fischer v. R̦sl.; Scrobipalpa obsoletella  Fischer v. R̦sl.,genus,accepted,"https://www.catalogueoflife.org/data/taxon/35CY",10651755
Atriplex canescens,Scrobipalpa atriplex  Busck,species,accepted,"https://www.catalogueoflife.org/data/taxon/JLB9",
Atriplex halimus,Apatetris halimilignella  Walsingham; Chrysoesthia gaditella  Staudinger; Chrysoesthia halymella  Amsel; Scrobipalpa halymella  Milli̬re,species,accepted,"https://www.catalogueoflife.org/data/taxon/JLFD",3083718
Atriplex lampa,Tuta atriplicella  Kieffer & J̦rg.,species,accepted,"https://www.catalogueoflife.org/data/taxon/JLH2",8681279
Atriplex nitens,Scrobipalpa nitentella  Fuchs,species,synonym,"https://www.catalogueoflife.org/data/taxon/JLKQ",
Atriplex nummularia,Scrobipalpa xerophylla  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/JLKW",
Atriplex vestita appendiculata,Scrobipalpa instabilella  Douglas,species,accepted,"https://www.catalogueoflife.org/data/taxon/BP8K7",6285616
Austroeupatorium inulaefolium,Recurvaria,species,accepted,"https://www.catalogueoflife.org/data/taxon/JWHK",
Avena sativa,Megacraspedus dolosellus  Zeller; Sitotroga cerealella  Olivier,species,accepted,"https://www.catalogueoflife.org/data/taxon/K2QJ",2705290
Azanza garckeana,Mometa zemiodes  Durrant,species,accepted,"https://www.catalogueoflife.org/data/taxon/7BWLP",3939836
